Offset,Time
+0.001,16:37:09.506241
-0.000,16:37:10.555313
+0.000,16:37:11.589886
-0.013,16:37:12.706586
+0.000,16:37:13.743709
-0.003,16:37:14.856962
+0.001,16:37:15.893238
+0.001,16:37:16.931043
+0.001,16:37:17.969059
+0.001,16:37:19.013861
+0.001,16:37:20.058331
+0.000,16:37:21.103085
+0.000,16:37:22.147857
-0.021,16:37:23.256935
-0.073,16:37:24.557073
+0.054,16:37:25.710753
+0.105,16:37:26.960765
+0.000,16:37:27.997519
+0.001,16:37:29.041364
-0.000,16:37:30.081055
-0.007,16:37:31.137518
+0.002,16:37:32.178102
+0.002,16:37:33.221112
-0.015,16:37:34.311862
-0.000,16:37:35.350192
+0.001,16:37:36.390909
+0.002,16:37:37.432318
+0.001,16:37:38.473068
+0.002,16:37:39.512550
+0.002,16:37:40.554825
+0.001,16:37:41.593954
+0.000,16:37:42.632527
-0.001,16:37:43.671730
-0.001,16:37:44.709176
+0.000,16:37:45.746313
-0.000,16:37:46.786183
+0.001,16:37:47.824413
-0.048,16:37:48.961963
-0.001,16:37:49.999208
+0.000,16:37:51.040746
+0.000,16:37:52.082424
-0.000,16:37:53.128319
+0.000,16:37:54.171078
+0.000,16:37:55.214116
-0.038,16:37:56.331431
+0.000,16:37:57.367344
+0.001,16:37:58.401002
+0.000,16:37:59.441603
+0.001,16:38:00.479082
+0.000,16:38:01.516819
+0.001,16:38:02.558086
+0.002,16:38:03.603074
-0.000,16:38:04.638489
-0.013,16:38:05.749392
+0.000,16:38:06.789117
+0.001,16:38:07.826150
+0.002,16:38:08.863165
+0.001,16:38:09.901234
+0.002,16:38:10.941166
+0.010,16:38:11.998984
+0.001,16:38:13.035576
+0.001,16:38:14.074544
+0.000,16:38:15.112375
+0.001,16:38:16.152705
-0.012,16:38:17.217954
+0.000,16:38:18.254696
+0.001,16:38:19.296754
+0.000,16:38:20.332086
-0.023,16:38:21.417077
+0.001,16:38:22.457218
+0.001,16:38:23.497158
-0.001,16:38:24.536134
+0.000,16:38:25.576862
+0.000,16:38:26.612301
+0.000,16:38:27.649134
+0.001,16:38:28.690540
+0.001,16:38:29.729047
-0.026,16:38:30.837670
-0.000,16:38:31.876285
+0.000,16:38:32.912145
+0.001,16:38:33.952611
+0.001,16:38:34.991285
+0.002,16:38:36.042374
+0.000,16:38:37.079572
-0.044,16:38:38.210942
+0.003,16:38:39.253102
-0.024,16:38:40.363156
+0.002,16:38:41.403233
+0.002,16:38:42.444356
